price_date,ticker,last_price
29/01/2019,VIX Index,19.13
28/01/2019,VIX Index,18.87
25/01/2019,VIX Index,17.42
24/01/2019,VIX Index,18.89
23/01/2019,VIX Index,19.52
22/01/2019,VIX Index,20.8
21/01/2019,VIX Index,19.3
18/01/2019,VIX Index,17.8
17/01/2019,VIX Index,18.06
16/01/2019,VIX Index,19.04
15/01/2019,VIX Index,18.6
14/01/2019,VIX Index,19.07
11/01/2019,VIX Index,18.19
10/01/2019,VIX Index,19.5
09/01/2019,VIX Index,19.98
08/01/2019,VIX Index,20.47
07/01/2019,VIX Index,21.4
04/01/2019,VIX Index,21.38
03/01/2019,VIX Index,25.45
02/01/2019,VIX Index,23.22
31/12/2018,VIX Index,25.42
28/12/2018,VIX Index,28.34
27/12/2018,VIX Index,29.96
26/12/2018,VIX Index,30.41
24/12/2018,VIX Index,36.07
21/12/2018,VIX Index,30.11
20/12/2018,VIX Index,28.38
19/12/2018,VIX Index,25.58
18/12/2018,VIX Index,25.58
17/12/2018,VIX Index,24.52
14/12/2018,VIX Index,21.63
13/12/2018,VIX Index,20.65
12/12/2018,VIX Index,21.46
11/12/2018,VIX Index,21.76
10/12/2018,VIX Index,22.64
07/12/2018,VIX Index,23.23
06/12/2018,VIX Index,21.19
05/12/2018,VIX Index,20.965
04/12/2018,VIX Index,20.74
03/12/2018,VIX Index,16.44
30/11/2018,VIX Index,18.07
29/11/2018,VIX Index,18.79
28/11/2018,VIX Index,18.49
27/11/2018,VIX Index,19.02
26/11/2018,VIX Index,18.9
23/11/2018,VIX Index,21.52
22/11/2018,VIX Index,21.16
21/11/2018,VIX Index,20.8
20/11/2018,VIX Index,22.48
19/11/2018,VIX Index,20.1
16/11/2018,VIX Index,18.14
15/11/2018,VIX Index,19.98
14/11/2018,VIX Index,21.25
13/11/2018,VIX Index,20.02
12/11/2018,VIX Index,20.45
09/11/2018,VIX Index,17.36
08/11/2018,VIX Index,16.72
07/11/2018,VIX Index,16.36
06/11/2018,VIX Index,19.91
05/11/2018,VIX Index,19.96
02/11/2018,VIX Index,19.51
01/11/2018,VIX Index,19.34
31/10/2018,VIX Index,21.23
30/10/2018,VIX Index,23.35
29/10/2018,VIX Index,24.7
26/10/2018,VIX Index,24.16
25/10/2018,VIX Index,24.22
24/10/2018,VIX Index,25.23
23/10/2018,VIX Index,20.71
22/10/2018,VIX Index,19.64
19/10/2018,VIX Index,19.89
18/10/2018,VIX Index,20.06
17/10/2018,VIX Index,17.4
16/10/2018,VIX Index,17.62
15/10/2018,VIX Index,21.3
12/10/2018,VIX Index,21.31
11/10/2018,VIX Index,24.98
10/10/2018,VIX Index,22.96
09/10/2018,VIX Index,15.95
08/10/2018,VIX Index,15.69
05/10/2018,VIX Index,14.82
04/10/2018,VIX Index,14.22
03/10/2018,VIX Index,11.61
02/10/2018,VIX Index,12.05
01/10/2018,VIX Index,12
28/09/2018,VIX Index,12.12
27/09/2018,VIX Index,12.41
26/09/2018,VIX Index,12.89
25/09/2018,VIX Index,12.42
24/09/2018,VIX Index,12.2
21/09/2018,VIX Index,11.68
20/09/2018,VIX Index,11.8
19/09/2018,VIX Index,11.75
18/09/2018,VIX Index,12.79
17/09/2018,VIX Index,13.68
14/09/2018,VIX Index,12.07
13/09/2018,VIX Index,12.37
12/09/2018,VIX Index,13.14
11/09/2018,VIX Index,13.22
10/09/2018,VIX Index,14.16
07/09/2018,VIX Index,14.88
06/09/2018,VIX Index,14.65
05/09/2018,VIX Index,13.91
04/09/2018,VIX Index,13.16
03/09/2018,VIX Index,13.01
31/08/2018,VIX Index,12.86
30/08/2018,VIX Index,13.53
29/08/2018,VIX Index,12.25
28/08/2018,VIX Index,12.5
27/08/2018,VIX Index,12.16
24/08/2018,VIX Index,11.99
23/08/2018,VIX Index,12.41
22/08/2018,VIX Index,12.25
21/08/2018,VIX Index,12.86
20/08/2018,VIX Index,12.49
17/08/2018,VIX Index,12.64
16/08/2018,VIX Index,13.45
15/08/2018,VIX Index,14.64
14/08/2018,VIX Index,13.31
